team1,team2,score1,score2
NYR,TBL,0,0
NYR,OTT,0,0
NYR,CHI,0,0
NYR,SEA,0,0
NYR,NSH,0,0
NYR,CBJ,0,0
NYR,VAN,0,0
NYR,MIN,0,0
NYR,NYI,0,0
NYR,PIT,0,0
NYR,COL,0,0
NYR,WPG,0,0
NYR,DET,0,0
NYR,CAR,0,0
NYR,NJD,0,0
NYR,WSH,0,0
NYR,ANA,0,0
NYR,BUF,0,0
NYR,STL,0,0
NYR,PHI,0,0
NYR,TOR,0,0
NYR,ARI,0,0
NYR,BOS,0,0
NYR,EDM,0,0
NYR,FLA,0,0
NYR,SJS,0,0
NYR,DAL,0,0
NYR,MTL,0,0
NYR,VGK,0,0
NYR,CGY,0,0
NYR,LAK,0,0
TBL,NYR,0,0
TBL,OTT,0,0
TBL,CHI,0,0
TBL,SEA,0,0
TBL,NSH,0,0
TBL,CBJ,0,0
TBL,VAN,0,0
TBL,MIN,0,0
TBL,NYI,0,0
TBL,PIT,0,0
TBL,COL,0,0
TBL,WPG,0,0
TBL,DET,0,0
TBL,CAR,0,0
TBL,NJD,0,0
TBL,WSH,0,0
TBL,ANA,0,0
TBL,BUF,0,0
TBL,STL,0,0
TBL,PHI,0,0
TBL,TOR,0,0
TBL,ARI,0,0
TBL,BOS,0,0
TBL,EDM,0,0
TBL,FLA,0,0
TBL,SJS,0,0
TBL,DAL,0,0
TBL,MTL,0,0
TBL,VGK,0,0
TBL,CGY,0,0
TBL,LAK,0,0
OTT,NYR,0,0
OTT,TBL,0,0
OTT,CHI,0,0
OTT,SEA,0,0
OTT,NSH,0,0
OTT,CBJ,0,0
OTT,VAN,0,0
OTT,MIN,0,0
OTT,NYI,0,0
OTT,PIT,0,0
OTT,COL,0,0
OTT,WPG,0,0
OTT,DET,0,0
OTT,CAR,0,0
OTT,NJD,0,0
OTT,WSH,0,0
OTT,ANA,0,0
OTT,BUF,0,0
OTT,STL,0,0
OTT,PHI,0,0
OTT,TOR,0,0
OTT,ARI,0,0
OTT,BOS,0,0
OTT,EDM,0,0
OTT,FLA,0,0
OTT,SJS,0,0
OTT,DAL,0,0
OTT,MTL,0,0
OTT,VGK,0,0
OTT,CGY,0,0
OTT,LAK,0,0
CHI,NYR,0,0
CHI,TBL,0,0
CHI,OTT,0,0
CHI,SEA,0,0
CHI,NSH,0,0
CHI,CBJ,0,0
CHI,VAN,0,0
CHI,MIN,0,0
CHI,NYI,0,0
CHI,PIT,0,0
CHI,COL,0,0
CHI,WPG,0,0
CHI,DET,0,0
CHI,CAR,0,0
CHI,NJD,0,0
CHI,WSH,0,0
CHI,ANA,0,0
CHI,BUF,0,0
CHI,STL,0,0
CHI,PHI,0,0
CHI,TOR,0,0
CHI,ARI,0,0
CHI,BOS,0,0
CHI,EDM,0,0
CHI,FLA,0,0
CHI,SJS,0,0
CHI,DAL,0,0
CHI,MTL,0,0
CHI,VGK,0,0
CHI,CGY,0,0
CHI,LAK,0,0
SEA,NYR,0,0
SEA,TBL,0,0
SEA,OTT,0,0
SEA,CHI,0,0
SEA,NSH,0,0
SEA,CBJ,0,0
SEA,VAN,0,0
SEA,MIN,0,0
SEA,NYI,0,0
SEA,PIT,0,0
SEA,COL,0,0
SEA,WPG,0,0
SEA,DET,0,0
SEA,CAR,0,0
SEA,NJD,0,0
SEA,WSH,0,0
SEA,ANA,0,0
SEA,BUF,0,0
SEA,STL,0,0
SEA,PHI,0,0
SEA,TOR,0,0
SEA,ARI,0,0
SEA,BOS,0,0
SEA,EDM,0,0
SEA,FLA,0,0
SEA,SJS,0,0
SEA,DAL,0,0
SEA,MTL,0,0
SEA,VGK,0,0
SEA,CGY,0,0
SEA,LAK,0,0
NSH,NYR,0,0
NSH,TBL,0,0
NSH,OTT,0,0
NSH,CHI,0,0
NSH,SEA,0,0
NSH,CBJ,0,0
NSH,VAN,0,0
NSH,MIN,0,0
NSH,NYI,0,0
NSH,PIT,0,0
NSH,COL,0,0
NSH,WPG,0,0
NSH,DET,0,0
NSH,CAR,0,0
NSH,NJD,0,0
NSH,WSH,0,0
NSH,ANA,0,0
NSH,BUF,0,0
NSH,STL,0,0
NSH,PHI,0,0
NSH,TOR,0,0
NSH,ARI,0,0
NSH,BOS,0,0
NSH,EDM,0,0
NSH,FLA,0,0
NSH,SJS,0,0
NSH,DAL,0,0
NSH,MTL,0,0
NSH,VGK,0,0
NSH,CGY,0,0
NSH,LAK,0,0
CBJ,NYR,0,0
CBJ,TBL,0,0
CBJ,OTT,0,0
CBJ,CHI,0,0
CBJ,SEA,0,0
CBJ,NSH,0,0
CBJ,VAN,0,0
CBJ,MIN,0,0
CBJ,NYI,0,0
CBJ,PIT,0,0
CBJ,COL,0,0
CBJ,WPG,0,0
CBJ,DET,0,0
CBJ,CAR,0,0
CBJ,NJD,0,0
CBJ,WSH,0,0
CBJ,ANA,0,0
CBJ,BUF,0,0
CBJ,STL,0,0
CBJ,PHI,0,0
CBJ,TOR,0,0
CBJ,ARI,0,0
CBJ,BOS,0,0
CBJ,EDM,0,0
CBJ,FLA,0,0
CBJ,SJS,0,0
CBJ,DAL,0,0
CBJ,MTL,0,0
CBJ,VGK,0,0
CBJ,CGY,0,0
CBJ,LAK,0,0
VAN,NYR,0,0
VAN,TBL,0,0
VAN,OTT,0,0
VAN,CHI,0,0
VAN,SEA,0,0
VAN,NSH,0,0
VAN,CBJ,0,0
VAN,MIN,0,0
VAN,NYI,0,0
VAN,PIT,0,0
VAN,COL,0,0
VAN,WPG,0,0
VAN,DET,0,0
VAN,CAR,0,0
VAN,NJD,0,0
VAN,WSH,0,0
VAN,ANA,0,0
VAN,BUF,0,0
VAN,STL,0,0
VAN,PHI,0,0
VAN,TOR,0,0
VAN,ARI,0,0
VAN,BOS,0,0
VAN,EDM,0,0
VAN,FLA,0,0
VAN,SJS,0,0
VAN,DAL,0,0
VAN,MTL,0,0
VAN,VGK,0,0
VAN,CGY,0,0
VAN,LAK,0,0
MIN,NYR,0,0
MIN,TBL,0,0
MIN,OTT,0,0
MIN,CHI,0,0
MIN,SEA,0,0
MIN,NSH,0,0
MIN,CBJ,0,0
MIN,VAN,0,0
MIN,NYI,0,0
MIN,PIT,0,0
MIN,COL,0,0
MIN,WPG,0,0
MIN,DET,0,0
MIN,CAR,0,0
MIN,NJD,0,0
MIN,WSH,0,0
MIN,ANA,0,0
MIN,BUF,0,0
MIN,STL,0,0
MIN,PHI,0,0
MIN,TOR,0,0
MIN,ARI,0,0
MIN,BOS,0,0
MIN,EDM,0,0
MIN,FLA,0,0
MIN,SJS,0,0
MIN,DAL,0,0
MIN,MTL,0,0
MIN,VGK,0,0
MIN,CGY,0,0
MIN,LAK,0,0
NYI,NYR,0,0
NYI,TBL,0,0
NYI,OTT,0,0
NYI,CHI,0,0
NYI,SEA,0,0
NYI,NSH,0,0
NYI,CBJ,0,0
NYI,VAN,0,0
NYI,MIN,0,0
NYI,PIT,0,0
NYI,COL,0,0
NYI,WPG,0,0
NYI,DET,0,0
NYI,CAR,0,0
NYI,NJD,0,0
NYI,WSH,0,0
NYI,ANA,0,0
NYI,BUF,0,0
NYI,STL,0,0
NYI,PHI,0,0
NYI,TOR,0,0
NYI,ARI,0,0
NYI,BOS,0,0
NYI,EDM,0,0
NYI,FLA,0,0
NYI,SJS,0,0
NYI,DAL,0,0
NYI,MTL,0,0
NYI,VGK,0,0
NYI,CGY,0,0
NYI,LAK,0,0
PIT,NYR,0,0
PIT,TBL,0,0
PIT,OTT,0,0
PIT,CHI,0,0
PIT,SEA,0,0
PIT,NSH,0,0
PIT,CBJ,0,0
PIT,VAN,0,0
PIT,MIN,0,0
PIT,NYI,0,0
PIT,COL,0,0
PIT,WPG,0,0
PIT,DET,0,0
PIT,CAR,0,0
PIT,NJD,0,0
PIT,WSH,0,0
PIT,ANA,0,0
PIT,BUF,0,0
PIT,STL,0,0
PIT,PHI,0,0
PIT,TOR,0,0
PIT,ARI,0,0
PIT,BOS,0,0
PIT,EDM,0,0
PIT,FLA,0,0
PIT,SJS,0,0
PIT,DAL,0,0
PIT,MTL,0,0
PIT,VGK,0,0
PIT,CGY,0,0
PIT,LAK,0,0
COL,NYR,0,0
COL,TBL,0,0
COL,OTT,0,0
COL,CHI,0,0
COL,SEA,0,0
COL,NSH,0,0
COL,CBJ,0,0
COL,VAN,0,0
COL,MIN,0,0
COL,NYI,0,0
COL,PIT,0,0
COL,WPG,0,0
COL,DET,0,0
COL,CAR,0,0
COL,NJD,0,0
COL,WSH,0,0
